Sample,DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),LPC(16:0),LPC(18:3),LPE(16:0),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:2),PC(32:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(38:6),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:4),TG(60:5),TG(60:6)
PI152651_control,20733034.53,197324.8915,2493385.068,1837035.119,1668940.198,912771.5225,26025.26121,53125.55357,180893.6414,1695223.478,525890.352,1148881.523,429530.7979,961837.8506,12098499.55,203879.8375,1645870.421,458425.0824,28773332.78,156358.6502,105937.5623,31657.40773,654976.5268,421570.697,856668.6666,156317.4588,2765523.586,164.2431902,64410.49178,6556557.378,2786834.876,6096226.069,119331830.5,61347.22906,160182.404,35312.52007,315688.3021,78834.4556,19440.67196,12138871.56,10276395.19,31604934.01,6625431.764,2995993.59,2704132.789,6315218.159,6850291.62,1157464.045,204140.9611,74455.85451,33265.06264,88122.92916,128129.1056,65047.97178,15828.70145,26913.11323,251885.235,54420.62759,2047352.52,9996586.612,894340.8229,830329.2779,83966.42253,4046439.466,1310449.591,64063.55075,456847.879,886522.6074,14110.13124,1431020.303,72056.57645,201260.9283,4462293.451,30898.9856,203460.0695,124715.4955,255720.9465,2366917.181,11177.84598,276525.691,176270.3242,58129.81515,92107.85898,4516.170072,27022.45295,10828.20253,16769.18805,17605.05732,11073.15203,5139.842622,46835.60273,13365.2412,10995.46801,6570.499199,3367.924343,10671.57028,47847.41101,142864.7468,80018.68146,9964.16626,6887.638696,4060.844599,23025.17274,139370.6166,408578.3749,376938.9155,535596.8802,389175.779,8970.719913,12980.20256,75581.28872,126852.7976,153070.7865,395695.2002,1469084.917,490026.4129,214970.0686,17450.39601,2551.881824,2452.685774,6841.206934,8759.081042,10840.35689,4373.288717,1814.322502,1405.579749,1281.003648,1479.212669,2098.370516,3794.397653,1960.70801
PI152651_lowinput,24397667.85,3767517.953,2523875.056,2151565.346,1862460.553,3125861.753,60747.83445,72022.41573,371074.1156,1560296.593,813327.8445,1613400.535,473775.4315,1178580.32,15490849.3,260548.3729,3332564.225,623611.2102,39659966.35,265602.2505,118160.8732,21978.33673,755186.3816,328753.3529,895015.3545,89802.00501,3047764.492,5447.347847,40620.5808,6654152.547,2581498.682,5656932.519,130295712.8,49665.55823,74654.13254,3160289.865,1295402.142,107394.5702,196184.6262,20782855.45,7417755.933,28988077.31,18453034.77,3120609.696,2161821.541,4578680.62,10597501.09,2205041.065,25926.8053,35280.5552,26097.90941,46070.59948,147370.1391,55844.4736,10989.16844,10873.84229,287964.1119,76245.56512,2592427.412,13465245.16,4827214.694,1036658.198,384950.4134,5103388.725,2167809.821,165035.1297,588185.5426,1083587.645,15142.42813,1554758.561,37616.05304,156692.9089,4393925.762,25743.84424,279623.7031,98123.1416,247117.6838,2205984.192,40970.64019,260779.7246,123151.3089,51621.30776,88027.53935,4378.906692,14420.91914,19540.68835,64226.57163,68868.79804,32828.41751,6847.698365,117469.5293,44736.86892,33832.38194,8165.418393,2451.97222,11254.68086,127655.7657,248034.5164,131088.5324,14286.32846,11979.45253,5264.811026,54388.34693,202986.8497,467276.4362,967253.1104,1412918.646,1268793.054,17690.71394,79252.67263,357034.7424,747923.0397,2065063.117,1530195.8,5606197.008,3288506.372,1728048.865,98325.85062,13842.60704,8242.525501,26988.99194,33927.42075,144093.4469,16564.20112,8190.622452,4319.698647,3742.202644,6942.40908,6770.761089,10156.11885,5727.256777
PI17548_control,29115469.17,270865.3959,2911619.52,2465458.732,2543267.696,2023799.491,25776.67507,67784.85045,150227.2774,2182387.495,965332.3853,1964121.407,550040.832,1157092.631,21689591.98,221813.7015,2786570.395,522230.8078,43231679.87,222111.3499,157750.9418,32045.7597,843790.8863,671164.6401,1171782.31,199222.7796,3870150.27,211.9561927,97949.65292,11994330.84,3328373.984,7680791.433,163220156,204904.2592,136177.1053,52583.65013,847375.8257,232327.5254,79560.24928,24379868.22,12397499.58,64435515.17,21488362.39,3648497.91,3475670.723,10336053.71,13281776.51,2767383.916,287906.5002,87528.7237,53105.39125,131431.9062,127462.5451,94492.66102,16022.87731,20186.7801,333602.5433,68301.1733,3400921.196,17587587.8,2354860.364,1118966.748,113130.1768,7360432.448,2927260.168,199473.8477,696005.8294,1144689.372,31502.07042,3152537.845,125034.7279,222525.3759,9162644.099,58733.35387,378513.4271,176161.8334,396117.5729,4737577.019,25454.05714,518069.9108,375760.3547,108097.0804,173023.2927,6626.546128,42256.61286,19660.11345,24954.46663,36675.47547,25570.87802,19665.67975,62108.76563,15747.75717,16820.78427,16624.00314,4458.706601,29396.70257,52356.67613,210212.644,140521.8056,15221.51206,15270.40451,19171.80568,24481.66738,151495.5056,371284.7555,453392.8684,798407.9925,768876.9082,11891.75813,11065.76276,95386.44936,142893.9606,186734.014,448158.8268,2073324.812,797050.6658,409113.7924,18445.42596,3266.583208,2524.817609,9106.375747,11442.79515,11702.22779,8069.532184,2067.46528,1880.004043,1347.377743,1603.978582,2367.779834,5390.440697,3075.61953
PI17548_lowinput,19719856.47,3212650.447,2228544.285,1414590.119,1506915.141,2465886.127,31660.32411,72162.40052,272858.0209,1255498.79,641738.1691,1453180.513,335908.9645,906158.5743,10762647.74,242322.2842,2549639.801,549438.4013,31466318.2,293007.6975,88995.38085,32643.7829,519429.9722,247752.4259,670919.687,73717.09515,2452676.682,4840.694271,23136.74279,4421895.454,2027230.792,4882904.063,107125043.4,138733.4366,82098.86789,1073459.312,940165.8738,117700.552,173477.199,17007762.31,7201312.973,23700318.91,16357426.16,3263446.284,1851712.099,3768826.951,11924999.4,869948.9275,33789.96723,29321.06487,33128.19056,83864.30619,128562.5479,29695.63842,16321.89173,12334.22936,204747.1818,82459.97796,1754186.132,11252939.92,2729802.196,881800.278,281403.2193,3525902.044,1575262.474,125327.3961,401244.0988,788280.6305,9509.487416,1120975.503,24809.70329,133569.8697,2999098.154,15016.29212,236183.8799,77521.09309,212537.5325,1412848.478,2571.339301,152367.2066,37967.98218,19404.22975,41357.77801,5908.652938,16269.8518,26026.8183,61872.85589,65687.95375,43008.73793,2773.584967,89223.11248,74538.67256,51550.71288,9182.955598,1495.359276,3050.340365,145328.46,238097.5525,98615.65999,10853.28972,7075.467966,3239.433329,48243.26374,242026.4725,395371.4856,666223.4975,874703.8555,809510.0379,13785.52048,108048.4225,277623.1374,702789.543,1405376.353,1058798.878,4075675.771,2210454.508,1150231.569,49518.9779,9306.654935,8485.670288,18213.3248,18058.87346,91641.38637,15898.24798,6802.686685,2773.471132,3208.568369,2501.928301,3687.108888,5046.701744,3052.554297
PI24969_control,22735298.8,236131.4467,2795717.694,2189463.587,1875388.002,1452472.542,31034.4749,65334.80108,200353.7455,1886625.488,788423.8755,1623457.107,507622.8535,1243118.765,19346952.01,237699.7474,2695020.06,587094.9569,42216812.35,148324.4449,74967.11393,29607.97834,717814.4914,571369.9991,1011255.153,192055.3952,3400345.292,673.2945664,59551.43081,10120834.66,3677610.755,8346337.705,147313304.7,66791.80384,58417.14381,24989.03914,363986.4548,106308.0469,71951.07054,17060703.37,10202315.11,44300780.94,13468102.65,3434756.612,3669930.329,7639533.335,11315059.46,2865285.15,236819.5364,70319.09187,57103.00433,121015.6544,142529.0608,71424.06798,14803.98918,13998.11583,323051.7032,69820.62122,3215164.995,15832504.4,2150962.317,1174687.976,113539.8421,6824314.006,2702030.607,177021.9395,630035.6697,1020053.559,21713.46869,3092237.709,94792.40559,214221.9019,8932924.776,58052.16746,383866.2603,184975.3282,411629.6792,4731526.205,192848.5589,4532973.161,3845098.022,1020376.405,1619141.614,51049.61182,372620.0139,148741.3486,146592.1446,190479.7215,118172.4369,16607.3539,152629.451,84467.5349,72791.75985,85576.4639,10334.76705,26819.69491,146458.3753,371704.6422,209190.7144,23969.44302,8108.913722,13197.25475,77442.92315,449569.8601,1021782.105,687687.5289,930589.9601,847880.2787,39164.14915,64646.14168,345522.8718,467858.4473,510890.505,739594.2272,2163500.118,739219.854,397809.4932,21983.90259,8201.724953,7576.231748,19143.09605,18722.10896,19899.87743,12328.14528,4825.931846,5185.440753,3058.668343,4109.22738,4674.667098,10460.40865,8214.680828
PI24969_lowinput,20715010.79,4465444.329,2803162.953,1922249.752,2130894.916,3757562.247,52094.42132,79500.27506,334156.5479,1685502.677,1002257.523,2018073.256,484991.9455,1366073.616,12972970.78,283748.1218,2586643.307,765458.5516,34917492.52,267019.7461,174884.8431,31265.5888,800732.5056,317410.9965,1024168.025,92416.93605,2416805.494,15020.89839,43094.03638,4793944.601,2396655.409,5452729.907,111916996.9,96505.84812,101996.0079,2628705.551,856965.7488,131110.3338,165328.1202,22420221.29,7347539.697,31923470.84,18664426.27,1838606.74,1753518.672,3263370.392,13496049.48,1950037.889,21774.48038,22492.46531,17576.40051,41637.6219,194902.4589,45685.54836,15632.79486,12383.91815,306470.5972,76015.40582,1981219.016,11619780.88,3644386.154,874374.5592,179176.4899,3827940.442,1625791.821,131978.4513,356069.5104,826980.3598,26877.20225,1684188.222,24944.61771,206200.5056,3371392.024,14569.85448,207980.7412,95251.49025,252842.0968,1550864.838,37059.56778,234779.6788,111888.8812,53388.05352,78650.10546,3784.851483,11916.12309,11360.41112,51885.89477,61845.01544,14806.83903,1841.67231,90032.32877,81922.8897,29344.52112,6648.963443,1145.0876,4977.477806,135138.3149,264001.1971,170899.5832,14566.41349,12275.53394,6225.766492,46436.60991,204814.4727,550581.8586,1266384.077,2347767.336,2306917.704,13171.7573,93422.90737,280128.3529,928099.5416,2424176.077,2077041.677,8450763.944,5867952.88,3350563.531,37936.11488,8207.08121,8348.373834,27823.33272,31986.45465,184371.9034,31986.63107,7928.274268,6054.57094,3455.203654,4076.347777,5731.209067,8183.502514,7815.86255
PI276837_control,22516368.95,250657.6843,2740723.462,2516837.871,2271767.172,1879334.25,47728.32093,70709.83984,197536.7808,2331493.34,1262037.118,2058300.847,465446.8744,1120965.833,18401932.28,238608.1287,2912608.773,599611.5136,43320251.98,162929.4647,118242.3214,33369.27991,773843.7181,768243.9954,1077172.331,217287.0713,2968908.214,299.8123962,62454.10132,9288680.402,2663481.511,8548474.574,100592540.1,83103.88376,122764.3899,39414.10846,692827.9278,103775.3725,73061.91303,22191818.8,21505789.65,57439245.05,18045087.82,4348721.215,5294581.227,8223247.085,13326375.44,3733712.7,294700.7125,70876.46011,67605.67828,149878.0325,175529.2622,91301.13427,16684.64028,19309.73904,308561.4544,74801.19244,3877461.949,16614497.79,2431040.647,1190078.97,145026.5929,8031130.782,3223964.232,226692.1828,750031.7822,1191189.931,20828.35708,2212415.037,81306.09135,201654.94,7456704.002,52678.9197,390414.8535,163985.749,414372.5189,4474663.7,29820.89508,450360.9351,327544.0683,94083.00062,150630.2543,6124.484141,44626.68256,19425.5957,25482.8868,34723.19783,25323.3485,11833.17769,73624.34082,19794.20998,15612.90559,18989.23989,3914.043195,23674.75531,83735.2098,325648.7439,227746.2462,21780.24724,18694.50277,17129.38148,37045.91235,273911.6594,795905.0399,826664.1189,1599699.891,1547876.847,15502.78041,20668.73055,219774.5887,267900.3666,367498.8824,804306.6376,4272595.307,1922611.986,990867.426,37311.0296,3983.521992,3601.444018,14951.23379,18515.22599,28840.1514,18270.72743,3083.299687,3649.720791,2085.995234,3134.650475,4281.630766,9123.958886,5994.770179
PI276837_lowinput,19791904.87,3533867.245,2614026.858,1676264.966,1714935.149,3417075.421,38865.65464,74575.17178,278360.1998,1264875.612,827865.6399,2072951.263,304315.6789,953811.4473,10655491.34,234256.0155,3346663.163,641906.2268,34796653.52,367875.8191,166184.5812,30021.15085,740142.7123,286864.1205,815730.4425,82512.42892,2404801.541,20824.15093,21618.13039,4774422.418,2128260.845,5352879.299,105367936.6,120760.7638,94855.34587,2656543.646,965258.0992,126911.3863,268715.9753,15964417.97,5931987.158,22448097.95,19165709.29,2366269.51,1533636.249,2457205.517,9780111.032,1926012.35,22617.98327,27090.86017,15918.95816,31241.19389,81393.01648,21805.80771,15010.57529,14073.55116,284816.6772,66497.7223,1817892.345,10719589.64,4349626.606,920951.5569,319590.8442,3545189.204,1648282.874,180675.9014,441691.7184,717001.2364,15092.55463,1406023.527,23511.62834,160640.2621,3180801.354,23185.17603,257630.941,74549.01467,218700.4117,1297523.887,48573.0467,403304.6388,220659.2677,90994.38127,155073.8236,9428.63283,27163.86798,12512.1013,89311.90272,84461.77337,24089.56472,4059.468589,177564.6055,92735.27641,52629.17008,4190.501477,1491.818842,15676.4525,137661.0474,215284.8376,126858.7669,10564.05822,8785.097357,8102.59151,55990.47966,205391.8692,352930.5775,714904.9875,1227321.417,1377901.91,16361.92203,94954.12943,260639.7664,575898.7563,1584443.798,1218593.746,5918129.531,3803512.266,2653248.446,135309.3784,6811.486483,4444.223734,13093.6407,18500.8998,129045.8544,22638.34489,8881.342169,3575.343298,2153.18326,2057.596382,3126.494968,3903.36092,2955.565346
PI329435_control,21709855.23,134352.1049,2018832.886,1366159.796,1318901.849,943310.1233,21691.37667,33094.34539,105687.6455,1203311.034,462164.2147,1177930.774,318620.4936,614545.5848,11516972.87,118901.7989,1566864.81,367569.0334,32219102.21,246844.5016,206265.3711,39484.52357,344665.141,371048.7913,500669.9012,212872.0245,2871068.985,244.630506,24564.74295,5457305.188,1708913.533,4361494.315,125567425.5,39417.71995,184280.0191,68755.12634,365866.5619,52515.94653,14595.52922,13810095.86,11845068.86,36412636.58,8053883.342,2520963.153,2705186.67,5374814.329,7641792.015,1556634.6,131034.2118,34598.62677,26207.98421,79519.20876,77229.76591,35986.89206,19742.26423,30207.33046,243377.8904,31570.28331,1736658.876,9407609.301,1085354.456,843755.7646,104257.8291,3649542.867,1581619.963,92367.89125,505683.5563,864166.4081,13399.68978,1503136.076,51330.48009,177748.8897,4626567.47,25019.94893,219636.0547,104228.606,257788.891,2689814.656,7671.457247,211395.7413,166772.0925,43628.36491,71921.15348,3293.589165,26710.73135,11180.74428,13420.74435,22678.13019,13533.43404,5901.884799,40482.18192,15748.6792,12400.91276,8588.119105,2653.386401,10871.98959,46371.94517,145370.65,89884.83903,9390.530313,8377.719598,4735.648395,20430.07573,140983.6042,469592.2097,366636.2094,566159.8648,444507.0165,7784.037843,11647.90166,51809.86095,110208.9282,165927.318,409269.9599,1713856.757,586058.0889,251794.7951,12030.57523,2564.939302,1805.106869,6621.74954,8491.241916,8263.534541,4246.842691,1882.266534,1216.234095,1486.975962,1577.140023,2182.768651,4042.497232,2171.433603
PI329435_lowinput,22862365.69,3779129.07,2514356.537,1618380.106,1636612.385,3581307.051,30349.94404,60811.97382,263695.5771,1111117.128,680824.0065,2199274.168,316187.5947,944103.9235,11991117.95,239401.2254,2789868.894,734615.5377,37123417.9,164333.5168,99067.63344,18659.90678,662583.5924,283614.6971,856732.3939,82629.83046,2684674.093,4829.226253,25194.34511,4362160.446,1995466.952,6071383.393,120035559.9,28699.06371,40215.85253,3987842.366,433710.6854,114475.1447,124087.5327,11513803.72,3156054.354,16256201.01,13658474.22,910593.7476,1468981.398,2719007.252,4038712.925,3015014.416,19597.71764,24060.98969,4403.083002,17140.24053,27515.2032,28610.61941,9329.954161,11774.23305,254189.3851,62064.66693,1992303.454,7839367.058,5421576.337,1003599.088,232622.9185,4051031.616,1511634.544,177543.3764,425738.0637,764138.1478,18228.66115,1210358.977,23768.65489,179529.3434,3233511.771,14554.51148,222524.0878,80685.90638,230078.2066,1593662.085,5498.95023,72843.97921,32230.50962,8628.206407,25430.57117,2250.396184,4572.601746,10499.51834,50988.26848,45350.7499,20665.03292,1472.280651,89042.31304,55750.12701,19958.20586,4023.868108,710.6716933,4742.247256,96885.06082,153398.0723,88736.18551,8039.075225,8217.482935,4104.52701,32516.85125,154708.6127,277841.4491,594059.5794,977988.9583,1061895.593,9783.478211,66910.87401,196237.894,503267.3485,1494184.538,1146574.782,4677665.431,3166156.036,2126991.9,35342.16795,4954.294685,3622.580489,17707.68324,23095.01349,115792.3631,15176.83195,3583.36526,1499.187542,2060.186285,1854.462344,2451.465538,3650.611188,2172.472984
